iter	Passed	Remaining
0	144	143956
1	144	72284
2	145	48367
3	146	36437
4	146	29252
5	147	24460
6	149	21158
7	150	18643
8	152	16774
9	153	15185
10	154	13864
11	155	12761
12	155	11832
13	156	11021
14	157	10319
15	157	9706
16	158	9166
17	159	8688
18	159	8259
19	161	7935
20	163	7645
21	164	7331
22	165	7042
23	166	6775
24	167	6530
25	168	6300
26	169	6091
27	169	5894
28	170	5713
29	171	5545
30	172	5388
31	173	5239
32	174	5099
33	174	4968
34	180	4974
35	182	4897
36	183	4785
37	184	4679
38	185	4575
39	186	4474
40	187	4379
41	188	4289
42	188	4206
43	189	4126
44	190	4052
45	192	3996
46	193	3927
47	194	3859
48	195	3795
49	196	3735
50	197	3676
51	198	3617
52	199	3560
53	200	3505
54	201	3457
55	202	3408
56	208	3443
57	209	3398
58	210	3355
59	211	3313
60	212	3268
61	213	3229
62	214	3188
63	215	3148
64	216	3117
65	218	3097
66	219	3062
67	220	3026
68	221	2993
69	222	2959
70	223	2926
71	224	2893
72	225	2862
73	226	2830
74	227	2800
75	227	2771
76	228	2743
77	229	2714
78	230	2690
79	236	2714
80	237	2690
81	238	2667
82	238	2638
83	239	2613
84	240	2589
85	241	2565
86	242	2544
87	243	2521
88	244	2498
89	245	2480
90	246	2461
91	248	2450
92	249	2429
93	249	2408
94	250	2388
95	251	2370
96	252	2351
97	253	2331
98	254	2313
99	255	2295
100	256	2278
101	256	2261
102	257	2244
103	258	2227
104	260	2219
105	261	2207
106	264	2208
107	265	2194
108	266	2180
109	267	2165
110	268	2150
111	269	2135
112	270	2121
113	271	2107
114	272	2093
115	272	2079
116	274	2068
117	276	2065
118	277	2053
119	278	2040
120	279	2028
121	279	2014
122	280	2002
123	281	1989
124	282	1977
125	283	1965
126	283	1952
127	284	1940
128	285	1929
129	286	1917
130	287	1907
131	294	1934
132	295	1924
133	296	1913
134	297	1904
135	298	1897
136	299	1887
137	300	1877
138	303	1877
139	305	1873
140	306	1865
141	306	1854
142	308	1846
143	309	1837
144	309	1827
145	310	1818
146	311	1808
147	312	1798
148	313	1789
149	314	1780
150	315	1771
151	316	1764
152	317	1757
153	319	1753
154	320	1746
155	321	1739
156	326	1751
157	327	1743
158	328	1735
159	328	1726
160	329	1716
161	330	1710
162	332	1706
163	333	1700
164	334	1692
165	335	1685
166	336	1677
167	337	1671
168	338	1663
169	339	1656
170	340	1649
171	341	1641
172	341	1634
173	342	1626
174	343	1620
175	345	1615
176	350	1629
177	353	1632
178	354	1626
179	355	1619
180	356	1612
181	357	1606
182	358	1599
183	359	1592
184	360	1589
185	361	1583
186	362	1576
187	363	1571
188	364	1565
189	365	1559
190	366	1553
191	367	1547
192	368	1541
193	369	1534
194	370	1528
195	371	1522
196	372	1517
197	373	1511
198	374	1508
199	375	1503
200	376	1498
201	377	1492
202	378	1486
203	379	1480
204	380	1475
205	381	1469
206	382	1463
207	383	1458
208	383	1452
209	384	1447
210	386	1444
211	388	1443
212	389	1438
213	390	1433
214	391	1428
215	392	1423
216	393	1418
217	393	1413
218	394	1408
219	395	1403
220	397	1399
221	397	1394
222	398	1389
223	399	1385
224	406	1399
225	407	1396
226	408	1391
227	409	1387
228	410	1382
229	411	1378
230	412	1374
231	413	1369
232	414	1365
233	416	1363
234	417	1360
235	418	1356
236	419	1351
237	420	1347
238	421	1342
239	422	1338
240	423	1333
241	424	1328
242	425	1324
243	426	1320
244	427	1316
245	428	1312
246	432	1318
247	434	1317
248	436	1316
249	438	1314
250	438	1309
251	439	1305
252	440	1301
253	441	1296
254	442	1292
255	443	1289
256	445	1288
257	447	1285
258	448	1282
259	449	1279
260	451	1277
261	452	1274
262	453	1270
263	454	1266
264	455	1262
265	456	1258
266	457	1255
267	459	1256
268	461	1254
269	462	1250
270	464	1250
271	466	1247
272	467	1243
273	468	1240
274	469	1236
275	470	1233
276	472	1232
277	473	1230
278	474	1227
279	475	1223
280	477	1220
281	478	1218
282	479	1214
283	480	1210
284	481	1206
285	481	1203
286	482	1199
287	484	1197
288	486	1197
289	488	1195
290	490	1194
291	491	1191
292	492	1189
293	493	1186
294	495	1182
295	496	1179
296	496	1176
297	498	1174
298	501	1175
299	503	1173
300	504	1171
301	505	1168
302	506	1165
303	507	1162
304	508	1158
305	509	1155
306	510	1151
307	511	1149
308	522	1167
309	523	1165
310	525	1163
311	526	1160
312	527	1158
313	530	1158
314	531	1156
315	532	1153
316	535	1153
317	536	1150
318	537	1147
319	538	1143
320	539	1140
321	540	1137
322	541	1135
323	548	1144
324	549	1141
325	551	1139
326	552	1136
327	553	1133
328	554	1131
329	555	1128
330	556	1125
331	558	1124
332	559	1121
333	560	1118
334	561	1115
335	562	1112
336	563	1109
337	565	1106
338	566	1103
339	567	1101
340	568	1098
341	569	1095
342	581	1113
343	582	1111
344	584	1109
345	585	1106
346	588	1106
347	589	1104
348	590	1100
349	591	1098
350	592	1095
351	593	1092
352	594	1089
353	595	1086
354	596	1083
